Title,Brand,Reviews,Rating,Price,Image,URL,Is_Sponsored
Fuzzbuzz Monkey Plush Toy 70cm Multicolour 3Y+,FuzzBuzz,0,,1072,https://m.media-amazon.com/images/I/71xDszfvvJL._AC_UL320_.jpg,https://www.amazon.in/Fuzzbuzz-Monkey-Plush-70cm-Multicolour/dp/B0B6HVSP4M/ref=sr_1_1_sspa?dib=eyJ2IjoiMSJ9.twLjGKqCNWSXTgJI_IKvUreQx95kxOrz_EqKRRoN3j0-tQHJ1_gTminOb0BnfPI87Gtc0IlgHMgsB9vaewho9qNLXebblOaXClB1o1_GcarrSiv2VUDy8PXj3s-uyNGx18VsTXt9KBavjsYnQ_zVtfBRZmElb_9EJYCucxRMQvKLgK6jcP25TI_sMK5MzdALiKgpejxsWQX8b5bj5xFvc2fGlSjxDNQV4I4B-2yKZvquZCiRF_CJaCg65TTLFP2-kUQ2NGzZ3YSkL27x7XvMtcj8SRTAsvr0NlaIBGpprtQ.tmpFR5iRefg0sq3SsZmiKzIM19rYApgN9z4IfBvBkR0&dib_tag=se&keywords=soft+toys&qid=1746942959&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1,Yes
FuzzBuzz Monkey Plush Toy 70cm Mustard 3Y+,Brand: FuzzBuzz,0,,1299,https://m.media-amazon.com/images/I/71XBu+lyA7L._AC_UL320_.jpg,https://www.amazon.in/Fuzzbuzz-Monkey-Plush-70cm-Mustard/dp/B0B6HV5RGC/ref=sr_1_2_sspa?dib=eyJ2IjoiMSJ9.twLjGKqCNWSXTgJI_IKvUreQx95kxOrz_EqKRRoN3j0-tQHJ1_gTminOb0BnfPI87Gtc0IlgHMgsB9vaewho9qNLXebblOaXClB1o1_GcarrSiv2VUDy8PXj3s-uyNGx18VsTXt9KBavjsYnQ_zVtfBRZmElb_9EJYCucxRMQvKLgK6jcP25TI_sMK5MzdALiKgpejxsWQX8b5bj5xFvc2fGlSjxDNQV4I4B-2yKZvquZCiRF_CJaCg65TTLFP2-kUQ2NGzZ3YSkL27x7XvMtcj8SRTAsvr0NlaIBGpprtQ.tmpFR5iRefg0sq3SsZmiKzIM19rYApgN9z4IfBvBkR0&dib_tag=se&keywords=soft+toys&qid=1746942959&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1,Yes
"Rowan Fuzzbuzz Ms. Spotty Walking Dog | Interactive Animal Soft Toys for Kids Age 3Y+ | Birthday Gift for Kids | Stuffed Puppy Toys | Plush Animal Toy | Battery Operated Toy, White & Black",Rowan,0,4.2,856,https://m.media-amazon.com/images/I/61ywABJ1MXL._AC_UL320_.jpg,https://www.amazon.in/Rowan-Spotty-Walking-Walks-Interactive/dp/B0BXLT2V5Q/ref=sr_1_3_sspa?dib=eyJ2IjoiMSJ9.twLjGKqCNWSXTgJI_IKvUreQx95kxOrz_EqKRRoN3j0-tQHJ1_gTminOb0BnfPI87Gtc0IlgHMgsB9vaewho9qNLXebblOaXClB1o1_GcarrSiv2VUDy8PXj3s-uyNGx18VsTXt9KBavjsYnQ_zVtfBRZmElb_9EJYCucxRMQvKLgK6jcP25TI_sMK5MzdALiKgpejxsWQX8b5bj5xFvc2fGlSjxDNQV4I4B-2yKZvquZCiRF_CJaCg65TTLFP2-kUQ2NGzZ3YSkL27x7XvMtcj8SRTAsvr0NlaIBGpprtQ.tmpFR5iRefg0sq3SsZmiKzIM19rYApgN9z4IfBvBkR0&dib_tag=se&keywords=soft+toys&qid=1746942959&sr=8-3-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1,Yes
Hamleys Pugs at Play Peanut Walking Talking Dog Soft Toy | Interactive Animal Soft Toys for Age 3Y+ | Birthday Gift for Kids | Stuffed Puppy Plush Animal Toy | Battery Operated Soft Toys | Assorted,Hamleys,0,2.6,1100,https://m.media-amazon.com/images/I/61Uo2YKILBL._AC_UL320_.jpg,https://www.amazon.in/Hamleys-Pugs-Peanut-Walking-Multicolour/dp/B0BLSS4C56/ref=sr_1_4_sspa?dib=eyJ2IjoiMSJ9.twLjGKqCNWSXTgJI_IKvUreQx95kxOrz_EqKRRoN3j0-tQHJ1_gTminOb0BnfPI87Gtc0IlgHMgsB9vaewho9qNLXebblOaXClB1o1_GcarrSiv2VUDy8PXj3s-uyNGx18VsTXt9KBavjsYnQ_zVtfBRZmElb_9EJYCucxRMQvKLgK6jcP25TI_sMK5MzdALiKgpejxsWQX8b5bj5xFvc2fGlSjxDNQV4I4B-2yKZvquZCiRF_CJaCg65TTLFP2-kUQ2NGzZ3YSkL27x7XvMtcj8SRTAsvr0NlaIBGpprtQ.tmpFR5iRefg0sq3SsZmiKzIM19rYApgN9z4IfBvBkR0&dib_tag=se&keywords=soft+toys&qid=1746942959&sr=8-4-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1,Yes
Storio Toy Plushie Soft Toys for Kids | Plush Soft Toys for Baby Boys and Girls Kids - Avacado Soft Toy | Best Valentine Gift,Storio,1677,4.2,365,https://m.media-amazon.com/images/I/51kNZcSgN+L._AC_UL320_.jpg,https://www.amazon.in/Storio-Toy-Plushie-Soft-Plush/dp/B0CQG7QH4N/ref=sr_1_21_sspa?dib=eyJ2IjoiMSJ9.twLjGKqCNWSXTgJI_IKvUreQx95kxOrz_EqKRRoN3j0-tQHJ1_gTminOb0BnfPI87Gtc0IlgHMgsB9vaewho9qNLXebblOaXClB1o1_GcarrSiv2VUDy8PXj3s-uyNGx18VsTXt9KBavjsYnQ_zVtfBRZmElb_9EJYCucxRMQvKLgK6jcP25TI_sMK5MzdALiKgpejxsWQX8b5bj5xFvc2fGlSjxDNQV4I4B-2yKZvquZCiRF_CJaCg65TTLFP2-kUQ2NGzZ3YSkL27x7XvMtcj8SRTAsvr0NlaIBGpprtQ.tmpFR5iRefg0sq3SsZmiKzIM19rYApgN9z4IfBvBkR0&dib_tag=se&keywords=soft+toys&qid=1746942959&sr=8-21-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&psc=1,Yes
Storio Toy Cute Cow Plushie Soft Toys for Kids | Plush Soft Toys for Baby Boys and Girls | Animal Soft Toy for Kids -27 cm,Brand: Storio,0,4.4,199,https://m.media-amazon.com/images/I/61DJpNH8TGL._AC_UL320_.jpg,https://www.amazon.in/Storio-Baby-Toys-Play-Kit/dp/B09CTQ7P15/ref=sr_1_22_sspa?dib=eyJ2IjoiMSJ9.twLjGKqCNWSXTgJI_IKvUreQx95kxOrz_EqKRRoN3j0-tQHJ1_gTminOb0BnfPI87Gtc0IlgHMgsB9vaewho9qNLXebblOaXClB1o1_GcarrSiv2VUDy8PXj3s-uyNGx18VsTXt9KBavjsYnQ_zVtfBRZmElb_9EJYCucxRMQvKLgK6jcP25TI_sMK5MzdALiKgpejxsWQX8b5bj5xFvc2fGlSjxDNQV4I4B-2yKZvquZCiRF_CJaCg65TTLFP2-kUQ2NGzZ3YSkL27x7XvMtcj8SRTAsvr0NlaIBGpprtQ.tmpFR5iRefg0sq3SsZmiKzIM19rYApgN9z4IfBvBkR0&dib_tag=se&keywords=soft+toys&qid=1746942959&sr=8-22-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&psc=1,Yes
"Pandaworld Joyful Jogs Pup, Plush Golden Retriever Walking and Barking Puppy Stuffed Animal, Soft Toy Dog (Battery Not Included)",Brand: Pandaworld,0,5.0,749,https://m.media-amazon.com/images/I/41lEhAhEcrL._AC_UL320_.jpg,https://www.amazon.in/Pandaworld-Retriever-Walking-Barking-Included/dp/B0DY57CPVJ/ref=sr_1_23_sspa?dib=eyJ2IjoiMSJ9.twLjGKqCNWSXTgJI_IKvUreQx95kxOrz_EqKRRoN3j0-tQHJ1_gTminOb0BnfPI87Gtc0IlgHMgsB9vaewho9qNLXebblOaXClB1o1_GcarrSiv2VUDy8PXj3s-uyNGx18VsTXt9KBavjsYnQ_zVtfBRZmElb_9EJYCucxRMQvKLgK6jcP25TI_sMK5MzdALiKgpejxsWQX8b5bj5xFvc2fGlSjxDNQV4I4B-2yKZvquZCiRF_CJaCg65TTLFP2-kUQ2NGzZ3YSkL27x7XvMtcj8SRTAsvr0NlaIBGpprtQ.tmpFR5iRefg0sq3SsZmiKzIM19rYApgN9z4IfBvBkR0&dib_tag=se&keywords=soft+toys&qid=1746942959&sr=8-23-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&psc=1,Yes
Fuzzbuzz Cute Bear with Bunny Hoodie for Girls/Kids | 30 cm Plush Toy | Huggable Soft Stuffed Animal | Ideal Gift for Special Occasions,Fuzzbuzz,0,,824,https://m.media-amazon.com/images/I/71anPMOEekL._AC_UL320_.jpg,https://www.amazon.in/Fuzzbuzz-Huggable-Stuffed-Special-Occasions/dp/B0DVSQ9F6N/ref=sr_1_24_sspa?dib=eyJ2IjoiMSJ9.twLjGKqCNWSXTgJI_IKvUreQx95kxOrz_EqKRRoN3j0-tQHJ1_gTminOb0BnfPI87Gtc0IlgHMgsB9vaewho9qNLXebblOaXClB1o1_GcarrSiv2VUDy8PXj3s-uyNGx18VsTXt9KBavjsYnQ_zVtfBRZmElb_9EJYCucxRMQvKLgK6jcP25TI_sMK5MzdALiKgpejxsWQX8b5bj5xFvc2fGlSjxDNQV4I4B-2yKZvquZCiRF_CJaCg65TTLFP2-kUQ2NGzZ3YSkL27x7XvMtcj8SRTAsvr0NlaIBGpprtQ.tmpFR5iRefg0sq3SsZmiKzIM19rYApgN9z4IfBvBkR0&dib_tag=se&keywords=soft+toys&qid=1746942959&sr=8-24-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&psc=1,Yes
"Hamleys 25cm Teddy Bear Plush Soft Toy with Saccha Pyaar T-Shirt, Valentine Special Bear",Brand: Hamleys,0,,899,https://m.media-amazon.com/images/I/71r+9ra7P1L._AC_UL320_.jpg,https://www.amazon.in/Hamleys-Saccha-T-Shirt-Valentine-Special/dp/B0DV5BJXYJ/ref=sr_1_57_sspa?dib=eyJ2IjoiMSJ9.twLjGKqCNWSXTgJI_IKvUreQx95kxOrz_EqKRRoN3j0-tQHJ1_gTminOb0BnfPI87Gtc0IlgHMgsB9vaewho9qNLXebblOaXClB1o1_GcarrSiv2VUDy8PXj3s-uyNGx18VsTXt9KBavjsYnQ_zVtfBRZmElb_9EJYCucxRMQvKLgK6jcP25TI_sMK5MzdALiKgpejxsWQX8b5bj5xFvc2fGlSjxDNQV4I4B-2yKZvquZCiRF_CJaCg65TTLFP2-kUQ2NGzZ3YSkL27x7XvMtcj8SRTAsvr0NlaIBGpprtQ.tmpFR5iRefg0sq3SsZmiKzIM19rYApgN9z4IfBvBkR0&dib_tag=se&keywords=soft+toys&qid=1746942959&sr=8-57-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&psc=1,Yes
Purple Beats Bubu Dudu Soft Toys | Bubu Dudu Plush | Bubu Dudu Teddy | Bubu Dudu Products (Big 35 CM)(Bag not Included),Brand: Purple Beats,0,4.0,899,https://m.media-amazon.com/images/I/51y-urOKNfL._AC_UL320_.jpg,https://www.amazon.in/Purple-Beats-Plush-Products-Included/dp/B0DTV1YMCR/ref=sr_1_58_sspa?dib=eyJ2IjoiMSJ9.twLjGKqCNWSXTgJI_IKvUreQx95kxOrz_EqKRRoN3j0-tQHJ1_gTminOb0BnfPI87Gtc0IlgHMgsB9vaewho9qNLXebblOaXClB1o1_GcarrSiv2VUDy8PXj3s-uyNGx18VsTXt9KBavjsYnQ_zVtfBRZmElb_9EJYCucxRMQvKLgK6jcP25TI_sMK5MzdALiKgpejxsWQX8b5bj5xFvc2fGlSjxDNQV4I4B-2yKZvquZCiRF_CJaCg65TTLFP2-kUQ2NGzZ3YSkL27x7XvMtcj8SRTAsvr0NlaIBGpprtQ.tmpFR5iRefg0sq3SsZmiKzIM19rYApgN9z4IfBvBkR0&dib_tag=se&keywords=soft+toys&qid=1746942959&sr=8-58-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&psc=1&smid=A2S73096ITMXS2,Yes
"Fuzzbuzz Huggable Cuddly Bunny Stuffed Toy, Soft Toys for Kids, Cute Plushies White, for Kids of Age 2 Years & Above",Brand: Fuzzbuzz,0,,599,https://m.media-amazon.com/images/I/71B4qyUkpFL._AC_UL320_.jpg,https://www.amazon.in/Fuzzbuzz-Huggable-Cuddly-Stuffed-Plushies/dp/B0F29HYYXR/ref=sr_1_59_sspa?dib=eyJ2IjoiMSJ9.twLjGKqCNWSXTgJI_IKvUreQx95kxOrz_EqKRRoN3j0-tQHJ1_gTminOb0BnfPI87Gtc0IlgHMgsB9vaewho9qNLXebblOaXClB1o1_GcarrSiv2VUDy8PXj3s-uyNGx18VsTXt9KBavjsYnQ_zVtfBRZmElb_9EJYCucxRMQvKLgK6jcP25TI_sMK5MzdALiKgpejxsWQX8b5bj5xFvc2fGlSjxDNQV4I4B-2yKZvquZCiRF_CJaCg65TTLFP2-kUQ2NGzZ3YSkL27x7XvMtcj8SRTAsvr0NlaIBGpprtQ.tmpFR5iRefg0sq3SsZmiKzIM19rYApgN9z4IfBvBkR0&dib_tag=se&keywords=soft+toys&qid=1746942959&sr=8-59-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&psc=1,Yes
"Storescent Cute Panda Plush with Bamboo, Kawaii Soft Panda in Bamboo Stuffed Animals Toy, Plushies Doll Gifts for Kids Girls Boys Birthday Valentine (Panda in Bamboo)",Storescent,1532,4.1,387.03,https://m.media-amazon.com/images/I/510y3YBXpdL._AC_UL320_.jpg,https://www.amazon.in/Storescent-Stuffed-Plushies-Birthday-Valentine/dp/B0CKXQNXTG/ref=sr_1_60_sspa?dib=eyJ2IjoiMSJ9.twLjGKqCNWSXTgJI_IKvUreQx95kxOrz_EqKRRoN3j0-tQHJ1_gTminOb0BnfPI87Gtc0IlgHMgsB9vaewho9qNLXebblOaXClB1o1_GcarrSiv2VUDy8PXj3s-uyNGx18VsTXt9KBavjsYnQ_zVtfBRZmElb_9EJYCucxRMQvKLgK6jcP25TI_sMK5MzdALiKgpejxsWQX8b5bj5xFvc2fGlSjxDNQV4I4B-2yKZvquZCiRF_CJaCg65TTLFP2-kUQ2NGzZ3YSkL27x7XvMtcj8SRTAsvr0NlaIBGpprtQ.tmpFR5iRefg0sq3SsZmiKzIM19rYApgN9z4IfBvBkR0&dib_tag=se&keywords=soft+toys&qid=1746942959&sr=8-60-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&psc=1,Yes
